Mike,Brosseau,MIL,2.1,30,11,19,3.86,0,0.11,3.86,10.15,89,7.31,0,-0.1,0,13.8,0.38,28,19683,670712,1
Hunter,Brown,HOU,94,1629,591,1038,4.12,0.28,0.08,0.86,3.35,98,3.01,-0.01,2.2,1.3,19.5,0.45,107,25880,686613,0
Justin,Bruihl,LAD,19.1,281,97,184,3.72,0.19,0.04,0.93,3.86,87,4,0.21,0.1,0.2,18.3,0.5,97,23779,677865,0
Kris,Bubic,KCR,16,265,87,178,3.94,0.24,0.03,0.56,2.66,90,3.55,0.12,0.5,0.4,18.2,0.45,83,21455,663460,0
J.B.,Bukauskas,- - -,3,50,22,28,3,0.21,0.21,0,5.29,74,5.29,-0.27,-0.1,-0.2,20.9,0.29,102,20491,656266,0
Madison,Bumgarner,ARI,16.2,350,150,200,10.26,0.11,0.17,2.16,8.09,233,7.46,-1.25,-0.4,-0.7,17.3,0.41,84,5524,518516,0
Aaron,Bummer,CHW,29.2,546,200,346,7.58,0.28,0.12,0,2.45,178,3.25,-0.87,0.9,-1.3,19.9,0.48,101,16258,607481,0
Nick,Burdi,CHC,3,58,21,37,9,0.27,0.2,0,3.62,209,6.28,-0.02,0,-0.1,21.9,0.25,129,16074,595897,1
Zack,Burdi,TBR,4,76,27,49,11.25,0.25,0.1,0,2.29,280,4.28,-0.05,0.1,-0.2,20,0.54,100,19159,641420,0
Brock,Burke,TEX,35.2,549,171,378,3.03,0.18,0.03,1.26,4.24,71,4.7,-0.09,0.2,0.5,18.4,0.38,91,17968,656271,0
Alec,Burleson,STL,1.2,45,15,30,21.6,0.08,0,5.4,9.89,517,5.92,0,-0.1,-0.1,15,0.5,98,27615,676475,0
Corbin,Burnes,MIL,107.1,1694,617,1077,3.94,0.23,0.09,1.17,4.28,91,4.18,-0.17,1.3,1.7,19.6,0.33,119,19361,669203,0
Alan,Busenitz,CIN,4,75,20,55,4.5,0.15,0.05,0,2.54,97,4.14,-0.18,0.1,0,18,0.56,121,15239,641427,0
Matt,Bush,MIL,10.1,194,72,122,9.58,0.21,0.13,4.35,9.38,220,4.95,-1.27,-0.7,-0.7,19.5,0.41,114,1246,456713,0
Jose,Butto,NYM,12,218,104,114,3,0.09,0.2,0.75,6.29,74,6.8,-0.02,-0.1,0.3,16.8,0.33,90,23313,676130,2
Edward,Cabrera,MIA,67,1216,496,720,4.7,0.29,0.14,1.21,4.5,111,3.99,-0.05,0.7,0.7,18,0.41,100,21690,665795,4
Genesis,Cabrera,STL,30.1,540,205,335,4.75,0.26,0.13,1.78,5.23,114,4.45,-0.32,-0.2,0,21.1,0.43,102,17490,650893,0
